canonical_name,full_name,domain,tier,source_preference,openreview_id_pattern,s2_venue_key,openalex_venue_name,aliases
POPL,ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,SE,A,s2,,POPL,POPL,popl
FSE,ACM International Conference on the Foundations of Software Engineering,SE,A,s2,,FSE,FSE,"esec-fse,fse"
SOSP,ACM Symposium on Operating Systems Principles,SE,A,s2,,SOSP,SOSP,sosp
OOPSLA,"Conference on Object-Oriented Programming Systems, Languages, and Applications",SE,A,s2,,OOPSLA,OOPSLA,oopsla
ASE,International Conference on Automated Software Engineering,SE,A,s2,,ASE,ASE,ase
ICSE,International Conference on Software Engineering,SE,A,s2,,ICSE,ICSE,icse
ISSTA,International Symposium on Software Testing and Analysis,SE,A,s2,,ISSTA,ISSTA,issta
OSDI,USENIX Symposium on Operating Systems Design and Implementation,SE,A,s2,,OSDI,OSDI,osdi
FM,International Symposium on Formal Methods,SE,A,s2,,FM,FM,fm
ECOOP,European Conference on Object-Oriented Programming,SE,B,s2,,ECOOP,ECOOP,ecoop
ETAPS,European Joint Conferences on Theory and Practice of Software,SE,B,s2,,ETAPS,ETAPS,etaps
ICPC,IEEE International Conference on Program Comprehension,SE,B,s2,,ICPC,ICPC,icpc
RE,IEEE International Requirements Engineering Conference,SE,B,s2,,RE,RE,re
CAiSE,International Conference on Advanced Information Systems Engineering,SE,B,s2,,CAiSE,CAiSE,caise
ICFP,ACM SIGPLAN International Conference on Function Programming,SE,B,s2,,ICFP,ICFP,icfp
LCTES,"ACM SIGPLAN/SIGBED International Conference on Languages, Compilers and Tools for Embedded Systems",SE,B,s2,,LCTES,LCTES,lctes
MoDELS,ACM/IEEE International Conference on Model Driven EngineeringLanguages and Systems,SE,B,s2,,MoDELS,MoDELS,models
CP,International Conference on Principles and Practice of Constraint Programming,SE,B,s2,,CP,CP,cp
CSOC,International Conference on Service Oriented Computing,SE,B,s2,,CSOC,CSOC,csoc
SANER,"IEEE International Conference on Software Analysis, Evolution, and Reengineering",SE,B,s2,,SANER,SANER,saner
ICSME,International Conference on Software Maintenance and Evolution,SE,B,s2,,ICSME,ICSME,icsme
VMCAI,"International Conference on Verification, Model Checking and Abstract Interpretation",SE,B,s2,,VMCAI,VMCAI,vmcai
ICWS,IEEE International Conference on Web Services,SE,B,s2,,ICWS,ICWS,icws
Middleware,International Middleware Conference,SE,B,s2,,Middleware,Middleware,middleware
SAS,International Static Analysis Symposium,SE,B,s2,,SAS,SAS,sas
ESEM,International Symposium on Empirical Software Engineering and Measurement,SE,B,s2,,ESEM,ESEM,esem
ISSRE,IEEE International Symposium on Software Reliability Engineering,SE,B,s2,,ISSRE,ISSRE,issre
HotOS,USENIX Workshop on Hot Topics in Operating Systems,SE,B,s2,,HotOS,HotOS,hotos
CC,International Conference on Compiler Construction,SE,B,s2,,CC,CC,cc
PEPM,ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,SE,C,s2,,PEPM,PEPM,pepm
PASTE,ACMSIGPLAN-SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,SE,C,s2,,PASTE,PASTE,paste
APLAS,Asian Symposium on Programming Languages and Systems,SE,C,s2,,APLAS,APLAS,aplas
APSEC,Asia-Pacific Software Engineering Conference,SE,C,s2,,APSEC,APSEC,apsec
EASE,International Conference on Evaluation and Assessment in Software Engineering,SE,C,s2,,EASE,EASE,ease
ICECCS,International Conference on Engineering of Complex Computer Systems,SE,C,s2,,ICECCS,ICECCS,iceccs
ICST,"IEEE International Conference on Software Testing, Verification and Validation",SE,C,s2,,ICST,ICST,icst
ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,SE,C,s2,,ISPASS,ISPASS,ispass
SCAM,IEEE International Working Conference on Source Code Analysis and Manipulation,SE,C,s2,,SCAM,SCAM,scam
COMPSAC,International Computer Software and Applications Conference,SE,C,s2,,COMPSAC,COMPSAC,compsac
ICFEM,International Conference on Formal Engineering Methods,SE,C,s2,,ICFEM,ICFEM,icfem
SSE,IEEE International Conference on Software Services Engineering,SE,C,s2,,SSE,SSE,sse
ICSSP,International Conference on Software and System Process,SE,C,s2,,ICSSP,ICSSP,icssp
SEKE,International Conference on Software Engineering and Knowledge Engineering,SE,C,s2,,SEKE,SEKE,seke
QRS,"International Conference on Software Quality, Reliability and Security",SE,C,s2,,QRS,QRS,qrs
ICSR,International Conference on Software Reuse,SE,C,s2,,ICSR,ICSR,icsr
ICWE,International Conference on Web Engineering,SE,C,s2,,ICWE,ICWE,icwe
SPIN,International Symposium on Model Checking of Software,SE,C,s2,,SPIN,SPIN,spin
ATVA,International Symposium on Automated Technology for Verification and Analysis,SE,C,s2,,ATVA,ATVA,atva
LOPSTR,International Symposium on Logic-based Program Synthesis and Transformation,SE,C,s2,,LOPSTR,LOPSTR,lopstr
TASE,Theoretical Aspects of Software Engineering Conference,SE,C,s2,,TASE,TASE,tase
MSR,Mining Software Repositories,SE,C,s2,,MSR,MSR,msr
REFSQ,Requirements Engineering: Foundation for Software Quality,SE,C,s2,,REFSQ,REFSQ,refsq
WICSA,Working IEEE/IFIP Conference on Software Architecture,SE,C,s2,,WICSA,WICSA,wicsa
Internetware,Asia-Pacific Symposium on Internetware,SE,C,s2,,Internetware,Internetware,internetware
RV,International Conference on Runtime Verification,SE,C,s2,,RV,RV,rv
MEMOCODE,International Conference on Formal Methods and Models for Co-Design,SE,C,s2,,MEMOCODE,MEMOCODE,memocode
SIGMOD,ACM SIGMOD Conference,DB,A,s2,,Proceedings of the ACM on Management of Data,SIGMOD,sigmod
KDD,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,DB,A,s2,,KDD,KDD,"kdd,sigkdd"
ICDE,IEEE International Conference on Data Engineering,DB,A,s2,,ICDE,ICDE,icde
SIGIR,International ACM SIGIR Conference on Research and Development in Information Retrieval,DB,A,s2,,SIGIR,SIGIR,sigir
VLDB,International Conference on Very Large Data Bases,DB,A,s2,,Proceedings of the VLDB Endowment,VLDB,vldb
CIKM,ACM International Conference on Information and Knowledge Management,DB,B,s2,,CIKM,CIKM,cikm
WSDM,ACM International Conference on Web Search and Data Mining,DB,B,s2,,WSDM,WSDM,wsdm
PODS,ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,DB,B,s2,,PODS,PODS,pods
DASFAA,International Conference on Database Systems for Advanced Applications,DB,B,s2,,DASFAA,DASFAA,dasfaa
ECML-PKDD,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,DB,B,s2,,ECML-PKDD,ECML-PKDD,"ecml-pkdd,ecmlpkdd"
ISWC,IEEE International Semantic Web Conference,DB,B,s2,,ISWC,ISWC,iswc
ICDM,IEEE International Conference on Data Mining,DB,B,s2,,ICDM,ICDM,icdm
ICDT,International Conference on Database Theory,DB,B,s2,,ICDT,ICDT,icdt
EDBT,International Conference on Extending Database Technology,DB,B,s2,,EDBT,EDBT,edbt
CIDR,Conference on Innovative Data Systems Research,DB,B,s2,,CIDR,CIDR,cidr
SDM,SIAM International Conference on Data Mining,DB,B,s2,,SDM,SDM,sdm
RecSys,ACM Conference on Recommender Systems,DB,B,s2,,RecSys,RecSys,recsys
WISE,Web Information Systems Engineering Conference,DB,B,s2,,WISE,WISE,wise
APWeb,Asia Pacific Web Conference,DB,C,s2,,APWeb,APWeb,apweb
DEXA,International Conference on Database and Expert System Applications,DB,C,s2,,DEXA,DEXA,dexa
ECIR,European Conference on Information Retrieval,DB,C,s2,,ECIR,ECIR,ecir
ESWC,Extended Semantic Web Conference,DB,C,s2,,ESWC,ESWC,eswc
WebDB,International Workshop on Web and Databases,DB,C,s2,,WebDB,WebDB,webdb
ER,International Conference on Conceptual Modeling,DB,C,s2,,ER,ER,er
MDM,International Conference on Mobile Data Management,DB,C,s2,,MDM,MDM,mdm
SSDBM,International Conference on Scientific and Statistical Database Management,DB,C,s2,,SSDBM,SSDBM,ssdbm
